Round,TrainLoss,TrainAcc,TestLoss,TestAcc
492,0.59517884,0.8199,0.51842969,0.8242
493,0.68515013,0.7925,0.50979197,0.8297
494,0.68637797,0.8075,0.51852599,0.8267
495,0.48966235,0.8587,0.59365822,0.8014
496,0.58590022,0.8230,0.50604949,0.8319
497,0.61961288,0.8314,0.62062883,0.7916
498,0.59128081,0.8109,0.54561347,0.8138
499,0.60745457,0.8193,0.53648390,0.8255
500,0.70573324,0.7872,0.53420446,0.8221
501,0.60244295,0.8351,0.50008153,0.8340
502,0.50389614,0.8406,0.50570923,0.8320
503,0.60407604,0.8198,0.52251814,0.8277
504,0.59500273,0.8250,0.50872886,0.8305
505,0.71902198,0.8018,0.50179121,0.8320
506,0.55309719,0.8282,0.51996231,0.8226
507,0.73408892,0.7904,0.50160087,0.8318
508,0.58858699,0.8224,0.50465991,0.8319
509,0.56034130,0.8318,0.57023347,0.8076
510,0.55945444,0.8247,0.52614287,0.8218
511,0.60579933,0.8117,0.51096495,0.8271
512,0.59694525,0.8220,0.52442792,0.8189
513,0.55559583,0.8283,0.56509272,0.8044
514,0.67491180,0.7900,0.50693391,0.8267
515,0.75558968,0.7931,0.52671408,0.8181
516,0.58063218,0.8308,0.53743737,0.8145
517,0.63614169,0.8131,0.51063618,0.8295
518,0.57507016,0.8168,0.52972996,0.8209
519,0.49874284,0.8525,0.51744255,0.8273
520,0.60637523,0.8164,0.50600065,0.8292
521,0.51589227,0.8417,0.49916502,0.8327
522,0.83393531,0.7858,0.51001245,0.8324
523,0.47396071,0.8593,0.51018202,0.8291
524,0.73425456,0.7922,0.50864365,0.8298
525,0.67708351,0.8020,0.52261590,0.8225
526,0.52622536,0.8374,0.50603553,0.8294
527,0.59316643,0.8265,0.53876121,0.8173
528,0.46698627,0.8570,0.57459830,0.8070
529,0.56702811,0.8327,0.52086631,0.8268
530,0.75632684,0.7820,0.51059383,0.8297
531,0.57591418,0.8320,0.52962940,0.8222
532,0.60827878,0.8284,0.57222783,0.8087
533,0.57637278,0.8116,0.58171861,0.8102
534,0.57629685,0.8263,0.53130531,0.8234
535,0.51588844,0.8429,0.51379124,0.8313
536,0.59282675,0.8153,0.51462344,0.8269
537,0.55310033,0.8314,0.52177399,0.8242
538,0.57385020,0.8264,0.50225478,0.8310
539,0.48784624,0.8490,0.52666921,0.8218
540,0.52436702,0.8340,0.57189602,0.8163
541,0.64544189,0.8176,0.58085109,0.8106
542,0.54148627,0.8381,0.52982221,0.8231
543,0.62724266,0.8051,0.52030818,0.8292
544,0.50422506,0.8523,0.54615151,0.8143
545,0.52244085,0.8418,0.56893919,0.8091
546,0.56880601,0.8347,0.58884142,0.8037
547,0.55429483,0.8364,0.50958771,0.8294
548,0.63739591,0.8060,0.52508894,0.8190
549,0.54595210,0.8324,0.53501042,0.8146
550,0.51923972,0.8333,0.50114661,0.8297
551,0.62824468,0.8149,0.50146931,0.8320
552,0.47577867,0.8529,0.50020901,0.8322
553,0.49218173,0.8381,0.51802903,0.8285
554,0.60024683,0.8201,0.58540615,0.8045
555,0.47847905,0.8487,0.51610161,0.8278
556,0.65597754,0.8034,0.55477061,0.8109
557,0.64058525,0.7993,0.49642187,0.8319
558,0.51007023,0.8317,0.49840817,0.8323
559,0.53790139,0.8371,0.51595115,0.8245
560,0.61514330,0.8239,0.53590729,0.8192
561,0.56042177,0.8334,0.53142418,0.8203
562,0.63494976,0.8135,0.52125166,0.8159
563,0.53808393,0.8354,0.50464466,0.8259
564,0.56552597,0.8276,0.53123929,0.8160
565,0.56457089,0.8208,0.51581934,0.8261
566,0.53998917,0.8339,0.51249110,0.8317
567,0.47676251,0.8494,0.54104010,0.8176
568,0.70805530,0.7867,0.51028254,0.8285
569,0.54487944,0.8402,0.55824086,0.8057
570,0.57259193,0.8243,0.51946566,0.8225
571,0.65935900,0.8025,0.50582664,0.8307
572,0.52100530,0.8454,0.51196125,0.8303
573,0.53942758,0.8341,0.56265431,0.8063
574,0.52830093,0.8413,0.49482416,0.8349
575,0.52675933,0.8464,0.49745049,0.8340
